ActorID,ActorFirstName,ActorMiddleName,ActorLastName,Birthday,Description,Nationality
63,Milla,NULL,Jovovich,1975-12-17,"Milla Jovovich, born as Milica Natasha Jovovi","Kiev, Ukraine"
64,Gary,NULL,Oldman,1958-03-21,"From Wikipedia, the free encyclopedia

Gary L","London, United Kingdom"
65,Ian,NULL,Holm,1931-09-12,"From Wikipedia, the free encyclopedia.

Sir I","Goodmayes, Essex, England"
66,Chris,NULL,Tucker,1972-08-31,"Christopher ""Chris"" Tucker (born August 31, 1","Atlanta, Georgia"
85,Johnny,NULL,Depp,1963-06-09,"John Christopher ""Johnny"" Depp II (born June ","Owensboro, Kentucky, USA "
99,Amanda,NULL,Plummer,1957-03-23,"Amanda Michael Plummer is an American actress","New York City, New York, "
100,Scott,NULL,Speedman,1975-09-01,"From Wikipedia, the free encyclopedia.

Scott","London, England, UK"
103,Mark,NULL,Ruffalo,1967-11-22,"Mark Alan Ruffalo (born November 22, 1967) is","Kenosha, Wisconsin, USA"
109,Elijah,NULL,Wood,1981-01-28,"Elijah Jordan Wood ( born January 28, 1981) i","Cedar Rapids, Iowa, USA"
110,Viggo,NULL,Mortensen,1958-10-20,"From Wikipedia, the free encyclopedia.

Viggo","New York City, New York, "
112,Cate,NULL,Blanchett,1969-05-14,"From Wikipedia, the free encyclopedia.

Cathe","Melbourne, Victoria, Aust"
113,Christopher,NULL,Lee,1922-05-27,"Sir Christopher Frank Carandini Lee, CBE, CSt","Belgravia, Westminster, E"
114,Orlando,NULL,Bloom,1977-01-13,"Orlando Jonathan Blanchard Bloom is an Englis","Canterbury, Kent, UK"
116,Keira,NULL,Knightley,1985-03-26,"From Wikipedia, the free encyclopedia.

Keira","London, United Kingdom"
118,Geoffrey,NULL,Rush,1951-07-06,"​From Wikipedia, the free encyclopedia.  

Ge","Toowoomba, Queensland, Au"
130,Kenny,NULL,Baker,1934-08-24,"From Wikipedia, the free encyclopedia  Kennet","Birmingham, England, UK"
131,Jake,NULL,Gyllenhaal,1980-12-19,"​American actor Jake Gyllenhaal was born in L","Los Angeles, California, "
133,Peter,NULL,Sarsgaard,1971-03-07,"From Wikipedia, the free encyclopedia  John P","Belleville, Illinois, USA"
134,Jamie,NULL,Foxx,1967-12-13,"Eric Marlon Bishop (born December 13, 1967), ","Terrell, Texas, USA"
138,Quentin,NULL,Tarantino,1963-03-27,"From Wikipedia, the free encyclopedia

Quenti","Knoxville, Tennessee, USA"
139,Uma,NULL,Thurman,1970-04-29,"From Wikipedia, the free encyclopedia

Uma Ka","Boston, Massachusetts, US"
140,Lucy,NULL,Liu,1968-12-02,"Lucy Alexis Liu (born Lucy Liu; December 2, 1","Queens - New York City - "
147,Michael,NULL,Madsen,1957-09-25,"Michael Søren Madsen (born September 25, 1957","Chicago, Illinois, USA"
150,RZA,,,1969-07-05,"​From Wikipedia, the free encyclopedia.  

Ro","Brooklyn, New York, USA"
155,Lucas,NULL,Black,1982-11-29,"​From Wikipedia, the free encyclopedia.  

Lu","Speake, Alabama, USA"
190,Clint,NULL,Eastwood,1930-05-31,"Clinton ""Clint"" Eastwood, Jr. (born May 31, 1","San Francisco, California"
192,Morgan,NULL,Freeman,1937-06-01,"Morgan Porterfield Freeman, Jr. is an America","Memphis, Tennessee, USA"
193,Gene,NULL,Hackman,1930-01-30,"From Wikipedia, the free encyclopedia.

Eugen","San Bernardino, Californi"
194,Richard,NULL,Harris,1930-10-01,"Richard St. John Harris was an Irish actor, s","Limerick City, Munster, I"
199,Julie,NULL,Kavner,1950-09-07,"​From Wikipedia, the free encyclopedia

Julie","Los Angeles, California, "
204,Kate,NULL,Winslet,1975-10-05,"Kate Elizabeth Winslet (born 5 October 1975) ","Reading, UK"
205,Kirsten,NULL,Dunst,1982-04-30,"Kirsten Caroline Dunst (born April 30, 1982) ","Point Pleasant, New Jerse"
206,Jim,NULL,Carrey,1962-01-17,"James Eugene ""Jim"" Carrey is a Canadian-Ameri","Newmarket, Ontario, Canad"
207,Tom,NULL,Wilkinson,1948-02-05,"From Wikipedia, the free encyclopedia

Thomas","Leeds - West Yorkshire - "
212,David,NULL,Cross,1964-04-04,"​From Wikipedia, the free encyclopedia.

Davi","Atlanta - Georgia - USA"
227,William,NULL,Hurt,1950-03-20,"From Wikipedia, the free encyclopedia.  

Wil","Washington, D.C., USA"
228,Ed,NULL,Harris,1950-11-28,"Edward Allen ""Ed"" Harris (born November 28, 1","Tenafly, New Jersey, USA"
230,Stephen,NULL,McHattie,1947-02-03,"From Wikipedia, the free encyclopedia.

Steph"," Antigonish, Nova Scotia,"
231,Greg,NULL,Bryk,0000-00-00,"From Wikipedia, the free encyclopedia.

Gregg","Winnipeg - Manitoba - Can"
263,Emilio,NULL,Echevarría,0000-00-00,,Mexico
287,Brad,NULL,Pitt,1963-12-18,"William Bradley ""Brad"" Pitt (born December 18","Shawnee - Oklahoma - USA"
289,Madeleine,NULL,Stowe,1958-08-18,"Madeleine Stowe (born August 18, 1958) is an ","Los Angeles, California, "
290,Christopher,NULL,Plummer,1929-12-13,"Arthur Christopher Orme Plummer CC (born Dece","Toronto, Ontario, Canada"
326,Kim,NULL,Basinger,1953-12-08,"From Wikipedia, the free encyclopedia.   Kimi","Athens, Georgia, USA"
327,Mekhi,NULL,Phifer,1974-12-29,"Mekhi Thira Phifer (born December 29, 1974) i","Harlem, New York City, Ne"
333,Evan,NULL,Jones,0000-00-00,,
334,Omar,Benson,Miller,0000-00-00,,
335,Michael,NULL,Shannon,1974-08-07,"Michael Corbett Shannon(born August 15, 1974)","Lexington, Kentucky, U.S."
349,Scott,NULL,Glenn,1941-01-26,"​From Wikipedia, the free encyclopedia

Theod","Pittsburgh, Pennsylvania,"
350,Laura,NULL,Linney,1964-02-05,"Laura Leggett Linney (born February 5, 1964) ","New York City, New York, "
352,Dennis,NULL,Haysbert,1954-06-02,"​From Wikipedia, the free encyclopedia.  

De","San Mateo, California, US"
368,Reese,NULL,Witherspoon,1976-03-22,"​Laura Jeanne Reese Witherspoon (born March 2","New Orleans, Louisiana, U"
378,Jonathan,NULL,Pryce,1947-06-01,"​From Wikipedia, the free encyclopedia.  

Jo","Holywell, Flintshire, Wal"
380,Robert,De,Niro,1943-08-17,"Robert De Niro, Jr. (born August 17, 1943) is","New York City - New York "
381,Katherine,NULL,Helmond,1928-07-05,"From Wikipedia, the free encyclopedia.  Kathe","Galveston, Texas, USA"
388,Jim,NULL,Broadbent,1949-05-24,"One of England's most versatile character act","Lincoln, Lincolnshire, En"
418,Robert,NULL,Patrick,1958-11-05,"Robert Hammond Patrick, Jr. (born November 5,","Marietta - Georgia - USA"
424,Dallas,NULL,Roberts,1970-05-10,"​From Wikipedia, the free encyclopedia

Dalla","Houston - Texas - USA"
427,Sandra,Ellis,Lafferty,1940-08-02,,
429,Lucas,NULL,Till,1990-08-10,"From Wikipedia, the free encyclopedia

Lucas ","Fort Hood, Texas, USA"
449,Jay,NULL,Baruchel,1982-04-09,"Jonathan Adam Saunders ""Jay"" Baruchel (born A","Ottawa, Ontario, Canada"
450,Mike,NULL,Colter,1976-08-26,"From Wikipedia, the free encyclopedia

Mike C","Columbia, South Carolina,"
451,Lucia,NULL,Rijker,1967-12-07,,"Amsterdam, Noord-Holland,"
452,Margo,NULL,Martindale,1951-07-18,"From Wikipedia, the free encyclopedia.

Margo","Jacksonville - Texas - US"
454,Michael,NULL,Peña,1976-01-13,"​From Wikipedia, the free encyclopedia

Micha","Chicago, Illinois, USA "
477,Julie,NULL,Walters,1950-02-22,"Julie Walters is an English actress and novel","Smethwick, England, UK"
478,Jamie,NULL,Bell,1986-03-14,"From Wikipedia, the free encyclopedia

Jamie ","Billingham, Stockton on T"
480,Gary,NULL,Lewis,1958-11-30,"From Wikipedia, the free encyclopedia

Gary L","Glasgow, Strathclyde, Sco"
486,Wallace,NULL,Wolodarsky,0000-00-00,"From Wikipedia, the free encyclopedia.  Walla",
488,Steven,NULL,Spielberg,1946-12-18,"Steven Allan Spielberg (born December 18, 194","Cincinnati - Ohio - USA"
500,Tom,NULL,Cruise,1962-07-03,"Thomas Cruise Mapother IV, born on July 3, 19","Syracuse, New York, U.S"
501,Dakota,NULL,Fanning,1994-02-23,"From Wikipedia, the free encyclopedia.

Heigh","Conyers - Georgia - USA"
502,Miranda,NULL,Otto,1967-12-16,"​From Wikipedia, the free encyclopedia.

Mira","Brisbane, Queensland, Aus"
504,Tim,NULL,Robbins,1958-10-16,"​Timothy Francis ""Tim"" Robbins (born October ","West Covina, California, "
514,Jack,NULL,Nicholson,1937-04-22,"John Joseph ""Jack"" Nicholson (born April 22, ","Manhattan, New York, USA"
517,Pierce,NULL,Brosnan,1953-05-16,"From Wikipedia, the free encyclopedia.

Pierc","Navan - Co. Meath - Irela"
518,Danny,NULL,DeVito,1944-11-17,"From Wikipedia, the free encyclopedia.

Danie","Asbury Park - New Jersey "
519,Martin,NULL,Short,1950-03-26,"From Wikipedia, the free encyclopedia.

Marti","Hamilton, Ontario, Canada"
521,Michael,J.,Fox,1961-06-09,"Born Michael Andrew Fox in Edmonton, Alberta,","Edmonton, AB Canada"
524,Natalie,NULL,Portman,1981-06-09,"Natalie Portman is an actress with dual Ameri","Jerusalem - Israel"
526,Lukas,NULL,Haas,1976-04-16,"​From Wikipedia, the free encyclopedia.  

Lu","West Hollywood, Californi"
529,Guy,NULL,Pearce,1967-10-05,"Guy Edward Pearce (born 5 October 1967) is an","Ely, Cambridgeshire, Engl"
530,Carrie-Anne,NULL,Moss,1967-08-21,"Carrie-Anne Moss (born August 21, 1967) is a ","Burnaby, British Columbia"
532,Joe,NULL,Pantoliano,1951-09-12,"From Wikipedia, the free encyclopedia.

Josep","Hoboken, New Jersey, U.S."
534,Mark,Boone,Junior,1955-03-17,"Mark Boone Junior (born March 17, 1955) is an","Cincinnati, Ohio, U.S."
539,Thomas,NULL,Lennon,1970-08-09,"From Wikipedia, the free encyclopedia

Thomas","Chicago, Illinois, USA"
544,Larry,NULL,Holden,1961-05-15,,
547,Victoria,NULL,Thomas,0000-00-00,,
569,Ethan,NULL,Hawke,1970-11-06,"Ethan Green Hawke (born November 6, 1970) is ","Austin, Texas, USA"
585,Rutger,NULL,Hauer,1944-01-23,"Rutger Oelsen Hauer is a Dutch film actor. He","Breukelen, Netherlands"
586,Sean,NULL,Young,1959-11-20,"​From Wikipedia, the free encyclopedia.

Sean","Louisville, Kentucky, USA"
587,Edward,James,Olmos,1947-02-24,"From Wikipedia, the free encyclopedia.  

Edw","Los Angeles, California, "
588,M.,Emmet,Walsh,1935-03-22,"Michael Emmet Walsh (born March 22, 1935) is ","Ogdensburg, New York, USA"
589,Daryl,NULL,Hannah,1960-12-03,"Daryl Hannah was born and raised in Chicago, ","Chicago, Illinois, U.S."
590,William,NULL,Sanderson,1944-01-10,"From Wikipedia, the free encyclopedia

Willia","Memphis, Tennessee, USA"
591,Brion,NULL,James,1945-02-20,"From Wikipedia, the free encyclopedia

Brion ","Redlands, California, USA"
592,Joe,NULL,Turkel,1927-07-15,,"Brooklyn, New York, USA"
593,Joanna,NULL,Cassidy,1945-08-02,"From Wikipedia, the free encyclopedia

Joanna","Haddonfield - New Jersey "
643,Gong,NULL,Li,1965-12-31,"From Wikipedia, the free encyclopedia

Gong L","Shenyang, Liaoning Provin"
649,Vernon,NULL,Dobtcheff,1934-08-14,"From Wikipedia, the free encyclopedia

Dobtch","Nimes, France"
650,Karen,NULL,Allen,1951-10-05,"From Wikipedia, the free encyclopedia  Karen ","Carrollton, Illinois"
652,Paul,NULL,Freeman,1943-01-18,"From Wikipedia, the free encyclopedia.  Paul ","Hertfordshire, England, U"
653,Ronald,NULL,Lacey,1935-09-28,"From Wikipedia, the free encyclopedia  
  Ron","Harrow, Greater London, E"
655,John,NULL,Rhys-Davies,1944-05-05,"​From Wikipedia, the free encyclopedia.    Jo","Ammanford, Carmarthenshir"
656,Denholm,NULL,Elliott,1922-05-31,"​From Wikipedia, the free encyclopedia.    De","Ealing, London, England, "
658,Alfred,NULL,Molina,1953-05-24,"Alfred Molina (born 24 May 1953) is a British","London, England, UK"
659,Wolf,NULL,Kahler,1940-04-03,,
660,Anthony,NULL,Higgins,1947-05-09,"From Wikipedia, the free encyclopedia.  Antho","Northampton, England"
661,Vic,NULL,Tablian,0000-00-00,,
662,Don,NULL,Fellows,0000-00-00,,
663,William,NULL,Hootkins,1948-07-05," ","Dallas, Texas, USA"
670,Ben,NULL,Burtt,1948-07-12,"From Wikipedia, the free encyclopedia.  Benja","New York, USA"
677,Moritz,NULL,Bleibtreu,1971-08-13,"Moritz Bleibtreu (born August 13, 1971) is a ","Munich, Germany"
678,Martina,NULL,Gedeck,1961-09-14,"From Wikipedia, the free encyclopedia.

Marti","Munich, Bavaria, Germany"
679,Franka,NULL,Potente,1974-07-22,"From Wikipedia, the free encyclopedia.

Frank","Münster, Germany"
725,Jerry,NULL,Orbach,1935-10-20,"From Wikipedia, the free encyclopedia.

Jerom","New York City, New York, "
738,Sean,NULL,Connery,1930-08-25,"From Wikipedia, the free encyclopedia.

Sir T","Fountainbridge, Edinburgh"
739,Alison,NULL,Doody,1966-11-11,,
740,Julian,NULL,Glover,1935-03-27,"Primarily a classical stage actor, Julian Glo","London, England "
741,River,NULL,Phoenix,1970-08-23,"River Phoenix was an up-and-coming movie star","Metolius, Oregon USA"
742,Michael,NULL,Byrne,1943-11-07,,"London, England, UK"
743,Kevork,NULL,Malikyan,0000-00-00,,
744,Robert,NULL,Eddison,1908-06-10,,"Yokohama, Japan"
745,Richard,NULL,Young,0000-00-00,"From Wikipedia, the free encyclopedia.

Richa","	Kissimmee, Florida"
746,Alexei,NULL,Sayle,1952-08-07,,
748,Paul,NULL,Maxwell,1921-11-12,,"Winnipeg, Manitoba, Canad"
749,Isla,NULL,Blair,1944-09-29,"From Wikipedia, the free encyclopedia.

Isla ",
762,Ali,NULL,Suliman,0000-00-00,"From Wikipedia, the free encyclopedia.

Ali S","Nazareth, Israel"
766,Ashraf,NULL,Barhom,0000-00-00,,
776,Eddie,NULL,Murphy,1961-04-03,"Edward ""Eddie"" Regan Murphy (born April 3, 19","Brooklyn, New York, USA"
780,Ronny,NULL,Cox,1938-07-23,"From Wikipedia, the free encyclopedia.

Danie"," Cloudcroft, New Mexico, "
781,Paul,NULL,Reiser,1957-03-30,,
783,Jonathan,NULL,Banks,1947-01-31,"From Wikipedia, the free encyclopedia.

Jonat","Washington, D.C., U.S."
785,James,NULL,Russo,1953-04-23,"From Wikipedia, the free encyclopedia

James ","New York City, New York, "
819,Edward,NULL,Norton,1969-08-18,"From Wikipedia, the free encyclopedia

Edward","Baltimore, Maryland, USA"
820,Edward,NULL,Furlong,1977-08-02,"​From Wikipedia, the free encyclopedia

Edwar","Glendale, California, USA"
824,Ethan,NULL,Suplee,1976-05-25,"From Wikipedia, the free encyclopedia.

Ethan","Manhattan, New York, USA"
825,Stacy,NULL,Keach,1941-06-02,"From Wikipedia, the free encyclopedia.

Walte","Savannah, Georgia, U.S."
827,Elliott,NULL,Gould,1938-08-29,"From Wikipedia, the free encyclopedia.

Ellio","Brooklyn, New York, USA"
854,James,NULL,Stewart,1908-05-20,"From Wikipedia, the free encyclopedia.  James","Indiana, Pennsylvania, US"
856,Ben,NULL,Gazzara,1930-08-28,"From Wikipedia, the free encyclopedia.  Ben G","New York City, New York, "
879,Billy,Bob,Thornton,1955-08-04,"From Wikipedia, the free encyclopedia.  

Bil","Hot Springs, Arkansas, US"
880,Ben,NULL,Affleck,1972-08-15,"From Wikipedia, the free encyclopedia.  

Ben","Berkeley, California, Uni"
882,Liv,NULL,Tyler,1977-07-01,"Liv Rundgren Tyler is an American actress and","New York City, New York, "
884,Steve,NULL,Buscemi,1957-12-13,"Steven Vincent ""Steve"" Buscemi is an American","New York City, New York, "
886,William,NULL,Fichtner,1956-11-27,"From Wikipedia, the free encyclopedia.

Willi","Mitchell Field Air Force "
887,Owen,NULL,Wilson,1968-11-18,"Owen Cunningham Wilson (born November 18, 196","Dallas, Texas, USA"
934,Russell,NULL,Crowe,1964-04-07,"Russell Ira Crowe (born 7 April 1964) is a Ne","Wellington, New Zealand"
935,Connie,NULL,Nielsen,1965-07-03,"From Wikipedia, the free encyclopedia

Connie","Elling, Frederikshavn, De"
936,Oliver,NULL,Reed,1937-02-13,"From Wikipedia, the free encyclopedia

Oliver","Wimbledon, London, UK"
937,Derek,NULL,Jacobi,1938-10-22,"From Wikipedia, the free encyclopedia.

Sir D","Leytonstone, London, Engl"
938,Djimon,NULL,Hounsou,1964-04-24,"Djimon Gaston Hounsou is a Beninese-American ","Cotonou, Benin"
939,David,NULL,Schofield,0000-00-00,"From Wikipedia, the free encyclopedia.

David","Manchester, Lancashire, U"
940,John,NULL,Shrapnel,1942-04-27,"Shrapnel was born in Birmingham, Warwickshire","Birmingham, West Midlands"
941,Tomas,NULL,Arana,1955-04-03,"He co-starred as Quintus in Ridley Scott's Gl","Auburn - California - USA"
942,Ralf,NULL,Möller,1959-01-12,,
955,Penélope,NULL,Cruz,1974-04-28,"From Wikipedia, the free encyclopedia.

Penél","Madrid - Spain"
973,Jason,NULL,Flemyng,1966-09-25,"From Wikipedia, the free encyclopedia

Jason ","Putney, London, England, "
974,Dexter,NULL,Fletcher,1966-01-31,"​From Wikipedia, the free encyclopedia

Dexte","North London, England, UK"
975,Nick,NULL,Moran,1969-12-23,"Nicholas James ""Nick"" Moran is an English act","East End, London, England"
976,Jason,NULL,Statham,1967-09-12,"Jason Statham (born 12 September 1967) is an ","London, England, UK"
978,Steven,NULL,Mackintosh,1967-04-30,"From Wikipedia, the free encyclopedia

Steven","Cambridge, Cambridgeshire"
980,Vinnie,NULL,Jones,1965-01-05,"From Wikipedia, the free encyclopedia.

Vince","Watford - Hertfordshire -"
992,Huggy,NULL,Leaver,0000-00-00,,
1003,Jean,NULL,Reno,1948-07-30,"​From Wikipedia, the free encyclopedia.  

Je","Casablanca, Morocco"
1004,Danny,NULL,Aiello,1933-06-20,"​From Wikipedia, the free encyclopedia.

Dani","New York City, New York, "
1007,Don,NULL,Creech,0000-00-00,,
1019,Mads,NULL,Mikkelsen,1965-11-22,"Mikkelsen was born in the Østerbro area of Co","Copenhagen, Denmark"
1037,Harvey,NULL,Keitel,1939-05-13,"From Wikipedia, the free encyclopedia

Harvey","Brooklyn, New York, USA"
1038,Jodie,NULL,Foster,1962-11-19,"From Wikipedia, the free encyclopedia.

Alici","Los Angeles, California, "
1060,Dean,NULL,Cundey,1946-03-12,"From Wikipedia, the free encyclopedia.  Dean ","Alhambra, California"
1062,Christopher,NULL,Lloyd,1938-10-22,"From Wikipedia, the free encyclopedia.  Chris","Stamford, Connecticut, US"
1063,Lea,NULL,Thompson,1961-05-31,"From Wikipedia, the free encyclopedia.

Lea K","Rochester - Minnesota - U"
1064,Crispin,NULL,Glover,1964-04-20,"Crispin Hellion Glover (born April 20, 1964) ","New York City, New York, "
1065,Thomas,F.,Wilson,1959-04-15,"From Wikipedia, the free encyclopedia

Thomas","Philadelphia, Pennsylvani"
1066,Claudia,NULL,Wells,1966-07-05,,
1067,Marc,NULL,McClure,1957-03-31,"​From Wikipedia, the free encyclopedia.  

Ma","San Mateo, California, U."
1068,Wendie,Jo,Sperber,1958-09-15,"From Wikipedia, the free encyclopedia. 
 
Wen","Hollywood, California, U."
1069,George,NULL,DiCenzo,1940-04-21,,"New Haven - Connecticut -"
1070,Frances,Lee,McCain,1944-07-28,,
1072,James,NULL,Tolkan,1931-06-20,,
1074,Harry,"Waters,",Jr.,0000-00-00,,
1100,Arnold,NULL,Schwarzenegger,1947-07-30,"​From Wikipedia, the free encyclopedia  Arnol","Thal, Styria, Austria"
1101,Carl,NULL,Weathers,1948-01-14,"​From Wikipedia, the free encyclopedia.

Carl","New Orleans, Louisiana, U"
1103,Bill,NULL,Duke,1943-02-26,"William Henry ""Bill"" Duke, Jr. (born February","Poughkeepsie, New York, U"
1115,Stephen,NULL,Graham,1973-08-03,"From Wikipedia, the free encyclopedia.

Steph","Liverpool, Merseyside, En"
1116,Alan,NULL,Ford,1935-03-14,,
1117,Dennis,NULL,Farina,1944-02-29,"​
Dennis Farina was one of Hollywood's busies","Chicago, Illinois, USA"
1118,Rade,NULL,Serbedzija,1946-07-27,"From Wikipedia, the free encyclopedia.  Rade ","Bunić, Croatia"
1119,Robbie,NULL,Gee,1970-03-24,,
1121,Benicio,del,Toro,1967-02-19,"​From Wikipedia, the free encyclopedia

Benic","Santurce, Puerto Rico"
1125,Ewen,NULL,Bremner,1972-01-23,"Ewen Bremner  (born 23 January 1972) is a Sco","Edinburgh, Scotland, UK"
1137,Juliette,NULL,Binoche,1964-03-09,"From Wikipedia, the free encyclopedia

Juliet","Paris, France"
1146,Julie,NULL,Delpy,1969-12-21,"From Wikipedia, the free encyclopedia

Julie ","Paris, France"
1158,Al,NULL,Pacino,1940-04-25,"From Wikipedia, the free encyclopedia.  Alfre","New York City, New York, "
1160,Michelle,NULL,Pfeiffer,1958-04-29,"​From Wikipedia, the free encyclopedia.

Mich","Santa Ana, California, U."
1164,F.,Murray,Abraham,1939-10-24,"From Wikipedia, the free encyclopedia.

Fahri","Pittsburgh - Pennsylvania"
1170,Michael,P.,Moran,1944-02-08,"From Wikipedia, the free encyclopedia.

Micha","Yuba City, California"
1173,Mark,NULL,Margolis,1939-11-26,"From Wikipedia, the free encyclopedia.

Mark "," Philadelphia, Pennsylvan"
1204,Julia,NULL,Roberts,1967-10-28,"Julia Fiona Roberts was born on October 28, 1","Smyrna, Georgia, USA"
1229,Jeff,NULL,Bridges,1949-12-04,"American actor Jeff Bridges has starred in ov","Los Angeles, California, "
1230,John,NULL,Goodman,1952-06-20,"​American actor. Height 6' 2"" (1,88 m)

John ","St. Louis - Missouri - US"
1231,Julianne,NULL,Moore,1960-12-03,"Julianne Moore (born Julie Anne Smith; Decemb","Fayetteville, North Carol"
1232,David,NULL,Huddleston,1930-09-17,"​From Wikipedia, the free encyclopedia.

Davi","Vinton - Virginia - USA"
1233,Philip,Seymour,Hoffman,1967-07-23,"Philip Seymour Hoffman (July 23, 1967 – Febru","Fairport, New York, U.S."
1234,Tara,NULL,Reid,1975-11-08,"Tara Donna Reid (born November 8, 1975) is an","Wyckoff, New Jersey, USA"
1235,Philip,NULL,Moon,0000-00-00,,
1236,Mark,NULL,Pellegrino,1965-04-09,"From Wikipedia, the free encyclopedia.

Mark ","Los Angeles - California "
1237,Michael,Peter,Balzary,1962-10-16,,"Melbourne, Victoria, Aust"
1238,Torsten,NULL,Voges,0000-00-00,,
1239,Jimmie,Dale,Gilmore,0000-00-00,,
1240,Jack,NULL,Kehler,0000-00-00,"From Wikipedia, the free encyclopedia.  Jack ",
1241,John,NULL,Turturro,1957-02-28,"From Wikipedia, the free encyclopedia.

John ","Brooklyn, New York, USA"
1242,James,G.,Hoosier,0000-00-00,,
1244,Jonathan,Rhys,Meyers,1977-07-27,"Jonathan Rhys Meyers (born 27 July 1977) is a","Dublin, Ireland"
1245,Scarlett,NULL,Johansson,1984-11-22,"Scarlett Johansson (/dʒoʊˈhænsən/joh-HAN-sən;","New York City - New York "
1246,Emily,NULL,Mortimer,1971-12-01,"From Wikipedia, the free encyclopedia.

Emily","London - England - UK"
1248,Brian,NULL,Cox,1946-06-01,"​From Wikipedia, the free encyclopedia.  

Br","Dundee, Scotland, UK"
1269,Kevin,NULL,Costner,1955-01-18,"Kevin Michael Costner (born January 18, 1955)"," Lynwood, California, USA"
1270,Charles,Martin,Smith,1953-10-30,"​From Wikipedia, the free encyclopedia.  

Ch","Van Nuys, California, Uni"
1271,Andy,NULL,García,1956-04-12,"​From Wikipedia, the free encyclopedia.  

An","Havana, Cuba"
1276,Patricia,NULL,Clarkson,1959-12-29,"​From Wikipedia, the free encyclopedia.  

Pa","New Orleans, Louisiana, U"
1280,Don,NULL,Harvey,1960-05-31,"​From Wikipedia, the free encyclopedia  Don P","St. Clair Shores, Michiga"
1281,Freddie,NULL,Highmore,1992-02-14,"​From Wikipedia, the free encyclopedia.  

Al"," London, England, UK"
1283,Helena,Bonham,Carter,1966-05-26,"From Wikipedia, the free encyclopedia Helena ","Golders Green, London, En"
1284,Noah,NULL,Taylor,1969-09-04,"Born to Australian parents in London, Noah Ta","London, England"
1285,AnnaSophia,NULL,Robb,1993-12-08,"From Wikipedia, the free encyclopedia.  

Ann","Denver, Colorado, USA"
